OriginZip,DestinationZip,num_orders,count_orders,max_orders,avg_volume,max_volume,min_volume,orders_per_day
2072,60046,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,60053,2,1,2,108.0,108.0,108.0,0.06666666666666667
2072,60156,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,60190,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,60526,2,1,2,60.0,60.0,60.0,0.06666666666666667
2072,60619,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,60621,1,1,1,1728.0,1728.0,1728.0,0.03333333333333333
2072,60670,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,61031,2,1,2,1728.0,1728.0,1728.0,0.06666666666666667
2072,61060,1,1,1,1100.0,1100.0,1100.0,0.03333333333333333
2072,61281,2,1,2,80.0,80.0,80.0,0.06666666666666667
2072,61345,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,61635,2,1,2,108.0,108.0,108.0,0.06666666666666667
2072,61637,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,61756,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,62639,1,1,1,660.0,660.0,660.0,0.03333333333333333
2072,62644,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,62706,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,63090,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,63112,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,63128,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,63160,2,1,2,1040.0,1040.0,1040.0,0.06666666666666667
2072,63336,1,1,1,210.0,210.0,210.0,0.03333333333333333
2072,63431,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,63966,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,64451,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,64637,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,64725,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,65010,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,65047,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,65636,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,66062,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,67060,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,67854,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,68376,1,1,1,1000.0,1000.0,1000.0,0.03333333333333333
2072,68445,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,68620,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,68803,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,69128,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,70463,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,70612,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,70645,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,71055,1,1,1,324.0,324.0,324.0,0.03333333333333333
2072,71109,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,71459,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,71654,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,71662,2,1,2,240.0,240.0,240.0,0.06666666666666667
2072,72046,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,72350,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,72421,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,72434,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,72546,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,72660,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,73548,4,1,4,300.0,300.0,300.0,0.13333333333333333
2072,73628,1,1,1,80.0,80.0,80.0,0.03333333333333333
2072,73646,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,74153,4,2,3,248.0,320.0,176.0,0.13333333333333333
2072,74431,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,74437,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,75159,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,75404,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,75968,2,1,2,540.0,540.0,540.0,0.06666666666666667
2072,77217,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,77417,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,77506,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,77547,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,77550,4,1,4,60.0,60.0,60.0,0.13333333333333333
